"Sl no.","State Name","District Name","Market Name","Commodity","Variety","Grade","Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
"131","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1800","1700","2/7/2021"
"132","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1000","1500","1300","2/6/2021"
"133","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1500","1250","2/6/2021"
"134","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","2/6/2021"
"135","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","1800","1700","2/5/2021"
"136","GUJARAT","Surat","Surat","Turmeric (raw)","Other","FAQ","1000","1500","1250","2/5/2021"
"137","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","1800","1700","2/5/2021"
"138","NAGALAND","Longleng","Longleng","Turmeric (raw)","Other","FAQ","1700","2000","1800","2/5/2021"
"139","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1750","2/4/2021"
"140","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1800","2000","1950","2/4/2021"
"141","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","2/4/2021"
"142","GUJARAT","Ahmedabad","Ahmedabad","Turmeric (raw)","Other","FAQ","1500","2000","1850","2/3/2021"
"143","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","2000","1800","2/3/2021"
"144","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2000","2400","2200","2/3/2021"
"145","GUJARAT","Vadodara(Baroda)","Vadodara(Sayajipura)","Turmeric (raw)","Other","FAQ","1500","2000","1950","2/2/2021"
"146","","Unokoti","Pabiacherra","Turmeric (raw)","Turmeric (raw)","FAQ","2200","2500","2400","2/1/2021"
